biosample_id,Cas12g,Cas13i,Cas12e,Cas13d,Cas3HD,Cas9,Cas3d,Cas10,Cas12d,Cas12c,Cas10d,Cas13f,Cas12k,Cas12b,Cas3,Cas12a,Cas12f,Cas13b,Cas12m,Cas3-Cas2
SAMEA6601835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6608162,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6619557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA6654821,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6654823,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6627640,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
SAMEA6627641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
SAMEA6503326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA6503333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA6503332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA6503343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA6503362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA6503367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA6503405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA6503393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA6503553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SAMEA6503376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA6503625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6647161,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6678272,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SAMEA6803974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6813212,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
SAMEA6807423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
